word,count,pred,truth,category
أَمِنْتُكُمْ,1,أمن | ة | كم,أمن | ت | كم,wrong_content
فَتَحُوا,1,ف | ت | حوا,فتح | وا,too_many_segments
وَجَدُوا,1,و | جد | وا,وجد | وا,too_many_segments
بِضَاعَتُنَا,1,ب | ضاع | ة | نا,بضاع | ة | نا,too_many_segments
أُرْسِلَهُ,1,أرسل | ه,أ | رسل | ه,too_few_segments
لَتَأْتُنَّنِي,1,لتأ | تن | ني,ل | ت | أت | ن | ن | ي,too_few_segments
يُحَاطَ,1,يحاط,ي | حاط,too_few_segments
آتَوْهُ,1,آتو | ه,آت | و | ه,too_few_segments
أُغْنِي,1,أغ | ني,أ | غني,wrong_content
أَيَّتُهَا,1,أيت | ها,أي | ت | ها,too_few_segments
لَسَارِقُونَ,1,لسارق | ون,ل | سارق | ون,too_few_segments
وُجِدَ,1,و | جد,وجد,too_many_segments
كِدْنَا,1,ك | دنا,كد | نا,wrong_content
لَظَالِمُونَ,1,لظالم | ون,ل | ظالم | ون,too_few_segments
فَرَّطْتُمْ,1,ف | رط | تم,فرط | تم,too_many_segments
أَبْرَحَ,1,أبرح,أ | برح,too_few_segments
وَاسْأَلِ,1,و | اسأل,و | ا | سأل,too_few_segments
يَأْتِيَنِي,1,ي | أتي | ني,ي | أتي | ن | ي,too_few_segments
يَاأَسَفَى,1,يا | أسفى,يا | أسف | ى,too_few_segments
وَابْيَضَّتْ,1,و | ا | بيض | ت,و | ابيض | ت,too_many_segments
عَيْنَاهُ,1,عي | نا | ه,عين | ا | ه,wrong_content
أَشْكُو,1,أشكو,أ | شكو,too_few_segments
وَحُزْنِي,1,و | حز | ني,و | حزن | ي,wrong_content
وَتَصَدَّقْ,1,و | ت | صدق,و | تصدق,too_many_segments
لَخَاطِئِينَ,1,لخاطئ | ين,ل | خاطئ | ين,too_few_segments
تَثْرِيبَ,1,ت | ثريب,تثريب,too_many_segments
فَصَلَتِ,1,ف | صلت,فصل | ت,wrong_content
لَأَجِدُ,1,لأجد,ل | أ | جد,too_few_segments
أَسْتَغْفِرُ,1,أستغفر,أ | ستغفر,too_few_segments
أَخْرَجَنِي,1,أخرج | ني,أخرج | ن | ي,too_few_segments
إِخْوَتِي,1,إخو | ة | ي,إخو | ت | ي,wrong_content
آتَيْتَنِي,1,آتي | ة | ني,آتي | ت | ن | ي,too_few_segments
وَعَلَّمْتَنِي,1,و | علم | ة | ني,و | علم | ت | ن | ي,too_few_segments
وَلِيِّي,1,و | لي | ي,ولي | ي,too_many_segments
تَوَفَّنِي,1,ت | وف | ني,توف | ن | ي,wrong_content
اتَّبَعَنِي,1,اتبع | ني,اتبع | ن | ي,too_few_segments
فَنُجِّيَ,1,ف | نج | ي,ف | نجي,too_many_segments
المر,1,ال | مر,المر,too_many_segments
تُوقِنُونَ,1,توقن | ون,ت | وقن | ون,too_few_segments
صِنْوَانٌ,1,صنوان,صنو | ان,too_few_segments
صِنْوَانٍ,1,صنوان,صنو | ان,too_few_segments
لَشَدِيدُ,1,لشديد,ل | شديد,too_few_segments
يَحْفَظُونَهُ,1,ي | حفظون | ه,ي | حفظ | ون | ه,too_few_segments
خِيفَتِهِ,1,خيف | ة | ه,خيف | ت | ه,wrong_content
كَبَاسِطِ,1,كباسط,ك | باسط,too_few_segments
فَاهُ,1,ف | اه,فا | ه,wrong_content
أَفَاتَّخَذْتُمْ,1,أ | فاتخذ | تم,أ | ف | اتخذ | تم,too_few_segments
كَخَلْقِهِ,1,كخلق | ه,ك | خلق | ه,too_few_segments
فَتَشَابَهَ,1,ف | تشاب | ه,ف | تشاب,too_many_segments
سَمُّوهُمْ,1,سمو | هم,سم | و | هم,too_few_segments
تُنَبِّئُونَهُ,1,ت | نبئون | ه,ت | نبئ | ون | ه,too_few_segments
أُشْرِكَ,1,أشر | ك,أ | شرك,wrong_content
وَذُرِّيَّةً,1,و | ذري | ة,و | ذر | ي | ة,too_few_segments
لَأَزِيدَنَّكُمْ,1,لأزيدن | كم,ل | أ | زيد | ن | كم,too_few_segments
تَدْعُونَنَا,1,ت | دعون | نا,ت | دع | ون | نا,too_few_segments
تَصُدُّونَا,1,تصدو | نا,ت | صد | و | نا,too_few_segments
فَأْتُونَا,1,فأتو | نا,ف | أت | و | نا,too_few_segments
نَتَوَكَّلَ,1,نتوكل,ن | توكل,too_few_segments
وَلَنَصْبِرَنَّ,1,و | لنصبرن,و | ل | ن | صبر | ن,too_few_segments
آذَيْتُمُونَا,1,آذي | تمو | نا,آذي | تم | و | نا,too_few_segments
لَنُخْرِجَنَّكُمْ,1,لنخرجن | كم,ل | ن | خرج | ن | كم,too_few_segments
لَنُهْلِكَنَّ,1,لنهل | كن,ل | ن | هلك | ن,too_few_segments
وَلَنُسْكِنَنَّكُمُ,1,و | لنس | كنن | كم,و | ل | ن | سكن | ن | كم,too_few_segments
يَتَجَرَّعُهُ,1,يتجرع | ه,ي | تجرع | ه,too_few_segments
يُسِيغُهُ,1,يسيغ | ه,ي | سيغ | ه,too_few_segments
كَرَمَادٍ,1,كرماد,ك | رماد,too_few_segments
لَهَدَيْنَاكُمْ,1,لهدي | نا | كم,ل | هدي | نا | كم,too_few_segments
أَجَزِعْنَا,1,أجزع | نا,أ | جزع | نا,too_few_segments
وَعَدَكُمْ,1,و | عد | كم,وعد | كم,too_many_segments
وَوَعَدْتُكُمْ,1,و | وعد | ة | كم,و | وعد | ت | كم,wrong_content
فَأَخْلَفْتُكُمْ,1,ف | أخلف | ة | كم,ف | أخلف | ت | كم,wrong_content
دَعَوْتُكُمْ,1,دعو | ة | كم,دعو | ت | كم,wrong_content
تَلُومُونِي,1,تلومو | ني,ت | لوم | و | ن | ي,too_few_segments
بِمُصْرِخِيَّ,1,ب | مصرخي,ب | مصرخ | ي,too_few_segments
أَشْرَكْتُمُونِ,1,أشرك | تم | ون,أشرك | تم | و | ن,too_few_segments
سَأَلْتُمُوهُ,1,سأل | تمو | ه,سأل | تم | و | ه,too_few_segments
وَاجْنُبْنِي,1,و | اجنب | ني,و | ا | جنب | ن | ي,too_few_segments
وَبَنِيَّ,1,و | ب | ني,و | بن | ي,wrong_content
أَضْلَلْنَ,1,أضللن,أضلل | ن,too_few_segments
تَبِعَنِي,1,تبع | ني,تبع | ن | ي,too_few_segments
عَصَانِي,1,عصا | ني,عصا | ن | ي,too_few_segments
أَسْكَنْتُ,1,أس | كن | ت,أسكن | ت,too_many_segments
بِوَادٍ,1,بواد,ب | واد,too_few_segments
وَهَبَ,1,و | هب,وهب,too_many_segments
لَسَمِيعُ,1,لسميع,ل | سميع,too_few_segments
وَتَقَبَّلْ,1,و | ت | قبل,و | تقبل,too_many_segments
وَأَفْئِدَتُهُمْ,1,و | أفئد | ة | هم,و | أفئد | ت | هم,wrong_content
دَعْوَتَكَ,1,دعو | ة | ك,دعو | ت | ك,wrong_content
وَنَتَّبِعِ,1,و | نتبع,و | ن | تبع,too_few_segments
مَسَاكِنِ,1,مسا | كن,مساكن,too_many_segments
وَتَبَيَّنَ,1,و | ت | بين,و | تبين,too_many_segments
فَعَلْنَا,1,ف | عل | نا,فعل | نا,too_many_segments
لِتَزُولَ,1,ل | تزول,ل | ت | زول,too_few_segments
وَلِيَذَّكَّرَ,1,و | ل | يذكر,و | ل | ي | ذكر,too_few_segments
رُبَمَا,1,ربما,رب | ما,too_few_segments
لَوْمَا,1,لوما,لو | ما,too_few_segments
مَوْزُونٍ,1,موز | ون,موزون,too_many_segments
فَأَسْقَيْنَاكُمُوهُ,1,ف | أسقيناكمو | ه,ف | أسقي | نا | كم | و | ه,too_few_segments
لِأَسْجُدَ,1,ل | أسجد,ل | أ | سجد,too_few_segments
خَلَقْتَهُ,1,خلق | ة | ه,خلق | ت | ه,wrong_content
لَأُزَيِّنَنَّ,1,لأزينن,ل | أ | زين | ن,too_few_segments
وَلَأُغْوِيَنَّهُمْ,1,و | لأغوين | هم,و | ل | أ | غوي | ن | هم,too_few_segments
لَمَوْعِدُهُمْ,1,لموعد | هم,ل | موعد | هم,too_few_segments
وَجِلُونَ,1,و | جل | ون,وجل | ون,too_many_segments
أَبَشَّرْتُمُونِي,1,أبشر | تمو | ني,أ | بشر | تم | و | ن | ي,too_few_segments
فَبِمَ,1,ف | بم,ف | ب | م,too_few_segments
لَمُنَجُّوهُمْ,1,لمنجو | هم,ل | منج | و | هم,too_few_segments
نَنْهَكَ,1,ن | نهك,ن | نه | ك,too_few_segments
لَعَمْرُكَ,1,لعمر | ك,ل | عمر | ك,too_few_segments
سَكْرَتِهِمْ,1,سكر | ة | هم,سكر | ت | هم,wrong_content
لَظَالِمِينَ,1,لظالم | ين,ل | ظالم | ين,too_few_segments
فَاصْفَحِ,1,ف | اصفح,ف | ا | صفح,too_few_segments
الْمَثَانِي,1,ال | مثا | ني,ال | مثاني,too_many_segments
عِضِينَ,1,عضين,عض | ين,too_few_segments
لَنَسْأَلَنَّهُمْ,1,لنسألن | هم,ل | ن | سأل | ن | هم,too_few_segments
تَسْتَعْجِلُوهُ,1,ت | ستعجلوه,ت | ستعجل | و | ه,too_few_segments
أَنْذِرُوا,1,أنذر | وا,أ | نذر | وا,too_few_segments
بَالِغِيهِ,1,ب | ال | غيه,بالغ | ي | ه,wrong_content
بِشِقِّ,1,بشق,ب | شق,too_few_segments
لِتَرْكَبُوهَا,1,ل | ت | ركبو | ها,ل | ت | ركب | و | ها,too_few_segments
يُضِلُّونَهُمْ,1,ي | ضلون | هم,ي | ضل | ون | هم,too_few_segments
فَلَبِئْسَ,1,ف | لبئس,ف | ل | بئس,too_few_segments
نَقُولَ,1,نقول,ن | قول,too_few_segments
تَقَلُّبِهِمْ,1,ت | قلب | هم,تقلب | هم,too_many_segments
يَتَفَيَّأُ,1,يتفيأ,ي | تفيأ,too_few_segments
يَتَوَارَى,1,يتوارى,ي | توارى,too_few_segments
وَتَصِفُ,1,و | تصف,و | ت | صف,too_few_segments
أَلْسِنَتُهُمُ,1,ألسن | ة | هم,ألسن | ت | هم,wrong_content
وَلِيُّهُمُ,1,و | ل | ي | هم,ولي | هم,too_many_segments
وَدَمٍ,1,ودم,و | دم,too_few_segments
لَبَنَاً,1,ل | ب | نا,لبن | ا,too_many_segments
كُلِي,1,كلي,كل | ي,too_few_segments
فَاسْلُكِي,1,ف | اسلك | ي,ف | ا | سلك | ي,too_few_segments
فُضِّلُوا,1,ف | ضل | وا,فضل | وا,too_many_segments
أَفَبِنِعْمَةِ,1,أفبنعم | ة,أ | ف | ب | نعم | ة,too_few_segments
وَبِنِعْمَتِ,1,و | ب | ن | عمت,و | ب | نعم | ت,wrong_content
أَبْكَمُ,1,أب | كم,أبكم,too_many_segments
كَلَمْحِ,1,كلمح,ك | لمح,too_few_segments
تَسْتَخِفُّونَهَا,1,ت | ستخفونها,ت | ستخف | ون | ها,too_few_segments
إِقَامَتِكُمْ,1,إقام | ة | كم,إقام | ت | كم,wrong_content
تَقِيكُمُ,1,تقي | كم,ت | قي | كم,too_few_segments
تَقِيكُمْ,1,تقي | كم,ت | قي | كم,too_few_segments
يُنْكِرُونَهَا,1,ي | نكرون | ها,ي | نكر | ون | ها,too_few_segments
وَيَنْهَى,1,و | ي | نهى,و | ي | نهي,wrong_content
تَوْكِيدِهَا,1,ت | وكيد | ها,توكيد | ها,too_many_segments
وَلَيُبَيِّنَنَّ,1,و | ليبينن,و | ل | ي | بين | ن,too_few_segments
وَلَتُسْأَلُنَّ,1,و | لتسألن,و | ل | ت | سأل | ن,too_few_segments
ثُبُوتِهَا,1,ثبو | ة | ها,ثبوت | ها,too_many_segments
وَتَذُوقُوا,1,و | ت | ذوق | وا,ف | ت | ذوق | وا,wrong_content
وَلَنَجْزِيَنَّ,1,و | لنجز | ين,و | ل | ن | جزي | ن,too_few_segments
فَلَنُحْيِيَنَّهُ,1,ف | لنحيين | ه,ف | ل | ن | حيي | ن | ه,too_few_segments
يَتَوَلَّوْنَهُ,1,يتولون | ه,ي | تول | ون | ه,too_few_segments
لِسَانُ,1,ل | سان,لسان,too_many_segments
أَعْجَمِيٌّ,1,أعجمي,أعجم | ي,too_few_segments
عَرَبِيٌّ,1,عربي,عرب | ي,too_few_segments
يَفْتَرِي,1,ي | فتر | ي,ي | فتري,too_many_segments
أُكْرِهَ,1,أكر | ه,أكره,too_many_segments
لَا جَرَمَ,1,لا جرم,لا | جرم,too_few_segments
فُتِنُوا,1,ف | ت | نوا,فتن | وا,too_many_segments
تُجَادِلُ,1,تجادل,ت | جادل,too_few_segments
نَفْسِهَا,1,ن | فس | ها,نفس | ها,too_many_segments
وَتُوَفَّى,1,و | توفى,و | ت | وفى,too_few_segments
لِبَاسَ,1,ل | باس,لباس,too_many_segments
تَصِفُ,1,تصف,ت | صف,too_few_segments
أَلْسِنَتُكُمُ,1,ألسن | ة | كم,ألسن | ت | كم,wrong_content
لَيَحْكُمُ,1,ليح | كم,ل | ي | حكم,too_few_segments
لِنُرِيَهُ,1,ل | ن | ريه,ل | ن | ري | ه,too_few_segments
ذُرِّيَّةَ,1,ذري | ة,ذر | ي | ة,too_few_segments
لَتُفْسِدُنَّ,1,لتفسدن,ل | ت | فسد | ن,too_few_segments
وَلَتَعْلُنَّ,1,و | لتعلن,و | ل | ت | عل | ن,too_few_segments
أَسَأْتُمْ,1,أ | سأ | تم,أسأ | تم,too_many_segments
دَخَلُوهُ,1,دخلو | ه,دخل | و | ه,too_few_segments
وَيَدْعُ,1,و | يدع,و | ي | دع,too_few_segments
آيَتَيْنِ,1,آيت | ين,آي | ت | ين,too_few_segments
كِتَابَكَ,1,ك | تاب | ك,كتاب | ك,too_many_segments
بِنَفْسِكَ,1,ب | ن | فسك,ب | نفس | ك,wrong_content
مُتْرَفِيهَا,1,مترفي | ها,مترف | ي | ها,too_few_segments
يَبْلُغَنَّ,1,ي | بلغن,ي | بلغ | ن,too_few_segments
كِلَاهُمَا,1,ك | لا | هما,كلا | هما,too_many_segments
ارْحَمْهُمَا,1,ارحم | هما,ا | رحم | هما,too_few_segments
رَبَّيَانِي,1,ربيا | ني,ربي | ا | ن | ي,too_few_segments
نُفُوسِكُمْ,1,ن | فوس | كم,نفوس | كم,too_many_segments
تُعْرِضَنَّ,1,ت | عرضن,ت | عرض | ن,too_few_segments
تَرْجُوهَا,1,ت | رجو | ها,ت | رج | و | ها,too_few_segments
كِلْتُمْ,1,ك | لتم,كل | تم,wrong_content
تَقْفُ,1,تقف,ت | قف,too_few_segments
سَيِّئُهُ,1,س | يئ | ه,سيئ | ه,too_many_segments
أَفَأَصْفَاكُمْ,1,أفأصفا | كم,أ | ف | أصفا | كم,too_few_segments
لَتَقُولُونَ,1,لتقول | ون,ل | ت | قول | ون,too_few_segments
لَابْتَغَوْا,1,لابتغ | وا,ل | ابتغ | وا,too_few_segments
تَسْبِيحَهُمْ,1,ت | سبيح | هم,تسبيح | هم,too_many_segments
فَطَرَكُمْ,1,ف | طر | كم,فطر | كم,too_many_segments
يَنْزَغُ,1,ي | نزغ,ي | نزع,wrong_content
مُهْلِكُوهَا,1,مهلكو | ها,مهلك | و | ها,too_few_segments
مُعَذِّبُوهَا,1,معذبو | ها,معذب | و | ها,too_few_segments
أَرَيْنَاكَ,1,أري | نا | ك,أ | ري | نا | ك,too_few_segments
أَأَسْجُدُ,1,أ | أسجد,أ | أ | سجد,too_few_segments
أَرَأَيْتَكَ,1,أرأي | ة | ك,أ | رأي | ت | ك,too_few_segments
أَخَّرْتَنِ,1,أخر | تن,أخر | ت | ن,too_few_segments
لَأَحْتَنِكَنَّ,1,لأح | تن | كن,ل | أ | حتنك | ن,too_few_segments
بِصَوْتِكَ,1,ب | صو | ت | ك,ب | صوت | ك,too_many_segments
أَفَأَمِنْتُمْ,1,أ | فأمن | تم,أ | ف | أمن | تم,too_few_segments
كِتَابَهُمْ,1,ك | تاب | هم,كتاب | هم,too_many_segments
لَيَفْتِنُونَكَ,1,ليفتنون | ك,ل | ي | فتن | ون | ك,too_few_segments
لِتَفْتَرِيَ,1,ل | ت | فتر | ي,ل | ت | فتري,too_many_segments
لَاتَّخَذُوكَ,1,لاتخذو | ك,ل | اتخذ | و | ك,too_few_segments
لَأَذَقْنَاكَ,1,لأذق | نا | ك,ل | أذق | نا | ك,too_few_segments
الْمَمَاتِ,1,ال | مم | ات,ال | ممات,too_many_segments
لَيَسْتَفِزُّونَكَ,1,ليستفزون | ك,ل | ي | ستفز | ون | ك,too_few_segments
لِيُخْرِجُوكَ,1,ل | ي | خرجو | ك,ل | ي | خرج | و | ك,too_few_segments
لِسُنَّتِنَا,1,ل | س | ن | تنا,ل | سن | ت | نا,wrong_content
لِدُلُوكِ,1,ل | دلو | ك,ل | دلوك,too_many_segments
فَتَهَجَّدْ,1,ف | ت | هجد,ف | تهجد,too_many_segments
أَدْخِلْنِي,1,أدخل | ني,أ | دخل | ن | ي,too_few_segments
وَأَخْرِجْنِي,1,و | أخرج | ني,و | أ | خرج | ن | ي,too_few_segments
شَاكِلَتِهِ,1,شاكل | ة | ه,شاكل | ت | ه,wrong_content
لَنَذْهَبَنَّ,1,لنذهبن,ل | ن | ذهب | ن,too_few_segments
اجْتَمَعَتِ,1,اجتمعت,اجتمع | ت,too_few_segments
أَبَعَثَ,1,أبعث,أ | بعث,too_few_segments
لَنَزَّلْنَا,1,لنزل | نا,ل | نزل | نا,too_few_segments
وَصُمَّاً,1,وصم | ا,و | صم | ا,too_few_segments
لَأَمْسَكْتُمْ,1,لأمسك | تم,ل | أمسك | تم,too_few_segments
يَسْتَفِزَّهُمْ,1,ي | ستفزهم,ي | ستفز | هم,too_few_segments
لَفِيفَاً,1,ل | فيف | ا,لفيف | ا,too_many_segments
فَرَقْنَاهُ,1,ف | رق | نا | ه,فرق | نا | ه,too_many_segments
وَنَزَّلْنَاهُ,1,و | نزل | نا | ه,و | ن | نزل | نا | ه,too_few_segments
أَيَّاً,1,أيا,أي | ا,too_few_segments
بِصَلَاتِكَ,1,ب | صل | ات | ك,ب | صلا | ت | ك,wrong_content
تُخَافِتْ,1,تخاف | ت,ت | خافت,wrong_content
لَجَاعِلُونَ,1,لجاعل | ون,ل | جاعل | ون,too_few_segments
فِتْيَةٌ,1,فتي | ة,فتى,too_many_segments
اعْتَزَلْتُمُوهُمْ,1,اعتزل | تمو | هم,اعتزل | تم | و | هم,too_few_segments
فَأْوُوا,1,فأو | وا,ف | أو | وا,too_few_segments
تَزَاوَرُ,1,تزاور,ت | زاور,too_few_segments
ذِرَاعَيْهِ,1,ذراعي | ه,ذراع | ي | ه,too_few_segments
لَوَلَّيْتَ,1,لولي | ت,ل | ولي | ت,too_few_segments
وَلَمُلِئْتَ,1,و | لملئ | ت,و | ل | ملئ | ت,too_few_segments
فَلْيَأْتِكُمْ,1,فليأ | ة | كم,ف | ل | ي | أت | كم,too_few_segments
وَلْيَتَلَطَّفْ,1,وليتلطف,و | ل | ي | تلطف,too_few_segments
يُشْعِرَنَّ,1,ي | شعرن,ي | شعر | ن,too_few_segments
يَرْجُمُوكُمْ,1,ي | رجمو | كم,ي | رجم | و | كم,too_few_segments
يُعِيدُوكُمْ,1,ي | عيدو | كم,ي | عيد | و | كم,too_few_segments
مِلَّتِهِمْ,1,ملت | هم,مل | ت | هم,too_few_segments
لَنَتَّخِذَنَّ,1,لنتخذن,ل | ن | تخذ | ن,too_few_segments
بِعِدَّتِهِمْ,1,ب | عدت | هم,ب | عد | ت | هم,too_few_segments
تُمَارِ,1,تمار,ت | مار,too_few_segments
تَسْتَفْتِ,1,ت | ستف | ت,ت | ستفت,too_many_segments
تَقُولَنَّ,1,تقولن,ت | قول | ن,too_few_segments
نَسِيتَ,1,نسيت,نسي | ت,too_few_segments
يَهْدِيَنِ,1,ي | هد | ين,ي | هدي | ن,wrong_content
وَازْدَادُوا,1,و | ا | زداد | وا,و | ازداد | وا,too_many_segments
تَعْدُ,1,تعد,ت | عد,too_few_segments
عَيْنَاكَ,1,عي | نا | ك,عين | ا | ك,wrong_content
فَلْيُؤْمِنْ,1,فليؤمن,ف | ل | ي | ؤمن,too_few_segments
فَلْيَكْفُرْ,1,فليكفر,ف | ل | ي | كفر,too_few_segments
الْوُجُوهَ,1,ال | وجو | ه,ال | وجوه,too_many_segments
جَنَّتَهُ,1,جنت | ه,جن | ة | ه,too_few_segments
تَبِيدَ,1,تبيد,ت | بيد,too_few_segments
لَأَجِدَنَّ,1,لأجدن,ل | أ | جد | ن,too_few_segments
أَكَفَرْتَ,1,أكفر | ت,أ | كفر | ت,too_few_segments
جَنَّتَكَ,1,جنت | ك,جن | ت | ك,too_few_segments
تَرَنِ,1,ترن,ت | ر | ن,too_few_segments
يُؤْتِيَنِ,1,ي | ؤت | ين,ي | ؤتي | ن,wrong_content
جَنَّتِكَ,1,جنت | ك,جن | ت | ك,too_few_segments
أُشْرِكْ,1,أشر | ك,أ | شرك,wrong_content
تَذْرُوهُ,1,ت | ذرو | ه,ت | ذر | و | ه,too_few_segments
نُغَادِرْ,1,نغادر,ن | غادر,too_few_segments
يَاوَيْلَتَنَا,1,يا | ويل | ة | نا,يا | ويل | ت | نا,wrong_content
يُغَادِرُ,1,يغادر,ي | غادر,too_few_segments
أَفَتَتَّخِذُونَهُ,1,أفتتخذون | ه,أ | ف | ت | تخذ | ون | ه,too_few_segments
وَذُرِّيَّتَهُ,1,و | ذري | ة | ه,و | ذر | ي | ت | ه,too_few_segments
أَشْهَدْتُهُمْ,1,أشهد | ة | هم,أشهد | ت | هم,wrong_content
نَادُوا,1,ن | اد | وا,ناد | وا,too_many_segments
مُوَاقِعُوهَا,1,مواقعو | ها,مواقع | و | ها,too_few_segments
وَيُجَادِلُ,1,و | يجادل,و | ي | جادل,too_few_segments
لَعَجَّلَ,1,لعجل,ل | عجل,too_few_segments
مَوْعِدٌ,1,موعد,عام,wrong_content
أَبْرَحُ,1,أبرح,أ | برح,too_few_segments
أَبْلُغَ,1,أبلغ,أ | بلغ,too_few_segments
أَمْضِيَ,1,أمض | ي,أ | مضي,wrong_content
بَلَغَا,1,بلغا,بلغ | ا,too_few_segments
نَسِيَا,1,نسيا,نسي | ا,too_few_segments
جَاوَزَا,1,جاوزا,جاوز | ا,too_few_segments
أَنْسَانِيهُ,1,أنسا | ني | ه,أنسا | ن | ي | ه,too_few_segments
أَذْكُرَهُ,1,أذكر | ه,أ | ذكر | ه,too_few_segments
نَبْغِ,1,نبغ,ن | بغ,too_few_segments
فَارْتَدَّا,1,ف | ارتدا,ف | ارتد | ا,too_few_segments
أَتَّبِعُكَ,1,أتبع | ك,أ | تبع | ك,too_few_segments
تُعَلِّمَنِ,1,ت | علمن,ت | علم | ن,too_few_segments
أَعْصِي,1,أعص | ي,أ | عصي,wrong_content
اتَّبَعْتَنِي,1,اتبع | ة | ني,اتبع | ت | ن | ي,too_few_segments
تَسْأَلْنِي,1,ت | سأل | ني,ت | سأل | ن | ي,too_few_segments
أُحْدِثَ,1,أحدث,أ | حدث,too_few_segments
رَكِبَا,1,ركبا,ركب | ا,too_few_segments
أَخَرَقْتَهَا,1,أخرق | ة | ها,أ | خرق | ت | ها,too_few_segments
تُؤَاخِذْنِي,1,ت | ؤاخذ | ني,ت | ؤاخذ | ن | ي,too_few_segments
تُرْهِقْنِي,1,ت | رهق | ني,ت | رهق | ن | ي,too_few_segments
لَقِيَا,1,لقيا,لقي | ا,too_few_segments
أَقَتَلْتَ,1,أقتل | ت,أ | قتل | ت,too_few_segments
سَأَلْتُكَ,1,سأل | ة | ك,سأل | ت | ك,wrong_content
تُصَاحِبْنِي,1,ت | صاحب | ني,ت | صاحب | ن | ي,too_few_segments
أَتَيَا,1,أ | تيا,أتي | ا,wrong_content
اسْتَطْعَمَا,1,استطعما,استطعم | ا,too_few_segments
يُضَيِّفُوهُمَا,1,ي | ضيفو | هما,ي | ضيف | و | هما,too_few_segments
لَاتَّخَذْتَ,1,لاتخذ | ت,ل | اتخذ | ت,too_few_segments
سَأُنَبِّئُكَ,1,سأنبئ | ك,س | أ | نبئ | ك,too_few_segments
لِمَسَاكِينَ,1,ل | مساك | ين,ل | مساكين,too_many_segments
أَعِيبَهَا,1,أعيب | ها,أ | عيب | ها,too_few_segments
يُرْهِقَهُمَا,1,ي | رهق | هما,ي | رهق | ما,wrong_content
يَتِيمَيْنِ,1,ي | تيم | ين,يتيم | ين,too_many_segments
يَبْلُغَا,1,ي | بلغا,ي | بلغ | ا,too_few_segments
وَيَسْتَخْرِجَا,1,و | ي | ستخرجا,و | ي | ستخرج | ا,too_few_segments
فَعَلْتُهُ,1,ف | عل | ت | ه,فعل | ت | ه,too_many_segments
سَأَتْلُو,1,سأتلو,س | أ | تلو,too_few_segments
تَتَّخِذَ,1,تتخذ,ت | تخذ,too_few_segments
سِتْرَاً,1,س | تر | ا,ستر | ا,too_many_segments
يَأْجُوجَ,1,ي | أجوج,يأجوج,too_many_segments
مَكَّنِّي,1,مكن | ني,مكن | ي,wrong_content
فَأَعِينُونِي,1,ف | أعينو | ني,ف | أعين | و | ن | ي,too_few_segments
أَجْعَلْ,1,أجعل,أ | جعل,too_few_segments
انْفُخُوا,1,ا | ن | فخ | وا,ا | نفخ | وا,too_many_segments
أُفْرِغْ,1,أفرغ,أ | فرغ,too_few_segments
اسْطَاعُوا,1,ا | سطاع | وا,اسطاع | وا,too_many_segments
يَظْهَرُوهُ,1,ي | ظهرو | ه,ي | ظهر | و | ه,too_few_segments
أَفَحَسِبَ,1,أفحسب,أ | ف | حسب,too_few_segments
صُنْعَاً,1,صنع | ا,صنع,too_many_segments
لَنَفِدَ,1,لنفد,ل | نفد,too_few_segments
فَلْيَعْمَلْ,1,فليعمل,ف | ل | ي | عمل,too_few_segments
وَهَنَ,1,و | هن,وهن,too_many_segments
الْمَوَالِيَ,1,ال | موال | ي,ال | موالي,too_many_segments
وَرَائِي,1,و | رائ | ي,ورائ | ي,too_many_segments
يَرِثُنِي,1,يرث | ني,ي | رث | ن | ي,too_few_segments
وَيَرِثُ,1,و | يرث,و | ي | رث,too_few_segments
وَاجْعَلْهُ,1,و | اجعل | ه,و | ا | جعل | ه,too_few_segments
خَلَقْتُكَ,1,خلق | ة | ك,خلق | ت | ك,wrong_content
يَايَحْيَى,1,يا | ي | حيى,يا | يحيى,too_many_segments
وُلِدَ,1,و | لد,ولد,too_many_segments
شَرْقِيَّاً,1,شرقي | ا,شرق | ي | ا,too_few_segments
لِأَهَبَ,1,ل | أهب,ل | أ | هب,too_few_segments
أَكُ,1,أك,أ | ك,too_few_segments
تُسَاقِطْ,1,تساقط,ت | ساقط,too_few_segments
فَكُلِي,1,ف | كلي,ف | كل | ي,too_few_segments
وَاشْرَبِي,1,و | اشرب | ي,و | ا | شرب | ي,too_few_segments
تَرَيِنَّ,1,ت | رين,ت | ر | ي | ن,too_few_segments
أُكَلِّمَ,1,أكلم,أ | كلم,too_few_segments
إِنْسِيَّاً,1,إنسي | ا,إنس | ي | ا,too_few_segments
نُكَلِّمُ,1,ن | ك | لم,ن | كلم,too_many_segments
وَأَوْصَانِي,1,و | أوصا | ني,و | أوصا | ن | ي,too_few_segments
مَا دُمْتُ,1,ما دم | ت,ما | دم | ت,too_few_segments
بِوَالِدَتِي,1,ب | والد | ة | ي,ب | والد | ت | ي,wrong_content
يَجْعَلْنِي,1,ي | جعل | ني,ي | جعل | ن | ي,too_few_segments
وُلِدْتُ,1,و | لد | ت,ولد | ت,too_many_segments
أَمُوتُ,1,أموت,أ | موت,too_few_segments
أُبْعَثُ,1,أبعث,أ | بعث,too_few_segments
يَأْتُونَنَا,1,ي | أتون | نا,ي | أت | ون | نا,too_few_segments
نَرِثُ,1,نرث,ن | رث,too_few_segments
يَأْتِكَ,1,ي | أتك,ي | أت | ك,too_few_segments
